,total,Device always available for educational purposes,Device usually available for educational purposes,Device sometimes available for educational purposes,Device rarely available for educational purposes,Device never available for educational purposes,Did not report,Internet always available for educational purposes,Internet usually available for educational purposes,Internet sometimes available for educational purposes,Internet rarely available for educational purposes,Internet never available for educational purposes,Did not report.1,week
0,2168188,1578959,287859,173556,12170,22257,93386,1443299,373769,69575,92483,14118,174944,1
10,2047676,1628211,156606,94664,160707,7488,-,1677382,211556,62118,1921,94700,-,2
11,1916394,1367498,255935,80070,59898,144184,8809,1336692,313248,77884,47573,127354,13643,3
12,1729172,1225301,333535,70375,63146,28481,8334,1151501,408350,35245,53779,46491,33806,4
13,1843301,1315278,409337,78353,19436,17441,3456,1337508,349042,90405,11874,45783,8689,5
14,1692923,1231318,329262,103648,4262,-,24434,1172041,423138,41781,992,26410,28562,6
15,1765408,1192260,408380,113389,16975,15899,18505,1253854,369155,88180,17616,4752,31852,7
16,2119471,1436630,342889,141825,117877,15013,65236,1316403,407450,199241,98691,18036,79650,8
17,2028074,1503857,272486,126803,46923,30389,47616,1549165,240312,98485,37134,42999,59979,9
1,1563268,927837,335327,184907,66175,9813,39209,997041,371758,122633,14965,454,56418,10
2,1893021,1148180,378818,244254,45283,28941,47546,1260001,325333,169444,41348,405,96491,11
3,1644256,961220,361555,168280,132590,11895,8716,1101541,369268,57896,91307,7652,16593,12
4,1645132,1267516,240267,48780,19856,16793,51920,1299831,166265,90451,30992,2073,55520,13
5,1618463,1274199,242283,57351,11803,-,32828,1121274,295581,90612,18151,-,92844,14
6,1358800,1066733,237668,44116,7834,2449,-,1006039,256983,76873,2419,8365,8120,15
7,1676972,1278296,287218,38137,34315,-,39005,1154043,314549,46926,14832,1165,145456,16
8,1552660,1212631,193721,55763,398,52722,37425,1163892,215349,76688,6386,3809,86536,17
9,1464512,1218836,112432,74076,10020,3394,45755,1130171,210163,17969,57061,3394,45755,18
