series_id                     	year	period	       value	footnote_codes
JTS000000000000000LDL         	2000	M12	        2035	
JTS000000000000000LDL         	2001	M01	        2220	
JTS000000000000000LDL         	2001	M02	        1838	
JTS000000000000000LDL         	2001	M03	        2126	
JTS000000000000000LDL         	2001	M04	        1880	
JTS000000000000000LDL         	2001	M05	        2041	
JTS000000000000000LDL         	2001	M06	        2004	
JTS000000000000000LDL         	2001	M07	        2060	
JTS000000000000000LDL         	2001	M08	        2004	
JTS000000000000000LDL         	2001	M09	        2101	
JTS000000000000000LDL         	2001	M10	        2327	
JTS000000000000000LDL         	2001	M11	        2260	
JTS000000000000000LDL         	2001	M12	        1931	
JTS000000000000000LDL         	2002	M01	        1908	
JTS000000000000000LDL         	2002	M02	        1964	
JTS000000000000000LDL         	2002	M03	        1870	
JTS000000000000000LDL         	2002	M04	        1956	
JTS000000000000000LDL         	2002	M05	        1977	
JTS000000000000000LDL         	2002	M06	        2003	
JTS000000000000000LDL         	2002	M07	        2120	
JTS000000000000000LDL         	2002	M08	        1915	
JTS000000000000000LDL         	2002	M09	        2016	
JTS000000000000000LDL         	2002	M10	        1940	
JTS000000000000000LDL         	2002	M11	        1950	
JTS000000000000000LDL         	2002	M12	        2014	
JTS000000000000000LDL         	2003	M01	        2113	
JTS000000000000000LDL         	2003	M02	        2006	
JTS000000000000000LDL         	2003	M03	        1939	
JTS000000000000000LDL         	2003	M04	        1999	
JTS000000000000000LDL         	2003	M05	        2078	
JTS000000000000000LDL         	2003	M06	        2065	
JTS000000000000000LDL         	2003	M07	        2078	
JTS000000000000000LDL         	2003	M08	        2154	
JTS000000000000000LDL         	2003	M09	        1927	
JTS000000000000000LDL         	2003	M10	        1975	
JTS000000000000000LDL         	2003	M11	        1954	
JTS000000000000000LDL         	2003	M12	        2012	
JTS000000000000000LDL         	2004	M01	        2044	
JTS000000000000000LDL         	2004	M02	        1972	
JTS000000000000000LDL         	2004	M03	        2052	
JTS000000000000000LDL         	2004	M04	        2013	
JTS000000000000000LDL         	2004	M05	        1917	
JTS000000000000000LDL         	2004	M06	        1877	
JTS000000000000000LDL         	2004	M07	        1895	
JTS000000000000000LDL         	2004	M08	        1964	
JTS000000000000000LDL         	2004	M09	        2024	
JTS000000000000000LDL         	2004	M10	        1911	
JTS000000000000000LDL         	2004	M11	        2042	
JTS000000000000000LDL         	2004	M12	        1953	
JTS000000000000000LDL         	2005	M01	        2017	
JTS000000000000000LDL         	2005	M02	        2059	
JTS000000000000000LDL         	2005	M03	        2179	
JTS000000000000000LDL         	2005	M04	        1961	
JTS000000000000000LDL         	2005	M05	        2020	
JTS000000000000000LDL         	2005	M06	        2007	
JTS000000000000000LDL         	2005	M07	        1905	
JTS000000000000000LDL         	2005	M08	        1900	
JTS000000000000000LDL         	2005	M09	        2031	
JTS000000000000000LDL         	2005	M10	        1881	
JTS000000000000000LDL         	2005	M11	        1773	
JTS000000000000000LDL         	2005	M12	        1926	
