series_id                     	year	period	       value	footnote_codes
JTS000000000000000OSL         	2000	M12	         332	
JTS000000000000000OSL         	2001	M01	         445	
JTS000000000000000OSL         	2001	M02	         300	
JTS000000000000000OSL         	2001	M03	         362	
JTS000000000000000OSL         	2001	M04	         376	
JTS000000000000000OSL         	2001	M05	         352	
JTS000000000000000OSL         	2001	M06	         350	
JTS000000000000000OSL         	2001	M07	         411	
JTS000000000000000OSL         	2001	M08	         421	
JTS000000000000000OSL         	2001	M09	         381	
JTS000000000000000OSL         	2001	M10	         346	
JTS000000000000000OSL         	2001	M11	         319	
JTS000000000000000OSL         	2001	M12	         362	
JTS000000000000000OSL         	2002	M01	         419	
JTS000000000000000OSL         	2002	M02	         354	
JTS000000000000000OSL         	2002	M03	         360	
JTS000000000000000OSL         	2002	M04	         401	
JTS000000000000000OSL         	2002	M05	         314	
JTS000000000000000OSL         	2002	M06	         340	
JTS000000000000000OSL         	2002	M07	         402	
JTS000000000000000OSL         	2002	M08	         363	
JTS000000000000000OSL         	2002	M09	         381	
JTS000000000000000OSL         	2002	M10	         371	
JTS000000000000000OSL         	2002	M11	         386	
JTS000000000000000OSL         	2002	M12	         416	
JTS000000000000000OSL         	2003	M01	         486	
JTS000000000000000OSL         	2003	M02	         347	
JTS000000000000000OSL         	2003	M03	         381	
JTS000000000000000OSL         	2003	M04	         380	
JTS000000000000000OSL         	2003	M05	         344	
JTS000000000000000OSL         	2003	M06	         320	
JTS000000000000000OSL         	2003	M07	         338	
JTS000000000000000OSL         	2003	M08	         323	
JTS000000000000000OSL         	2003	M09	         355	
JTS000000000000000OSL         	2003	M10	         361	
JTS000000000000000OSL         	2003	M11	         325	
JTS000000000000000OSL         	2003	M12	         330	
JTS000000000000000OSL         	2004	M01	         387	
JTS000000000000000OSL         	2004	M02	         296	
JTS000000000000000OSL         	2004	M03	         333	
JTS000000000000000OSL         	2004	M04	         319	
JTS000000000000000OSL         	2004	M05	         341	
JTS000000000000000OSL         	2004	M06	         344	
JTS000000000000000OSL         	2004	M07	         342	
JTS000000000000000OSL         	2004	M08	         352	
JTS000000000000000OSL         	2004	M09	         326	
JTS000000000000000OSL         	2004	M10	         334	
JTS000000000000000OSL         	2004	M11	         296	
JTS000000000000000OSL         	2004	M12	         315	
JTS000000000000000OSL         	2005	M01	         348	
JTS000000000000000OSL         	2005	M02	         338	
JTS000000000000000OSL         	2005	M03	         288	
JTS000000000000000OSL         	2005	M04	         308	
JTS000000000000000OSL         	2005	M05	         323	
JTS000000000000000OSL         	2005	M06	         320	
JTS000000000000000OSL         	2005	M07	         322	
JTS000000000000000OSL         	2005	M08	         351	
JTS000000000000000OSL         	2005	M09	         320	
JTS000000000000000OSL         	2005	M10	         316	
JTS000000000000000OSL         	2005	M11	         335	
JTS000000000000000OSL         	2005	M12	         397	
JTS000000000000000OSL         	2006	M01	         368	
JTS000000000000000OSL         	2006	M02	         358	
JTS000000000000000OSL         	2006	M03	         371	
JTS000000000000000OSL         	2006	M04	         435	
JTS000000000000000OSL         	2006	M05	         426	
JTS000000000000000OSL         	2006	M06	         409	
JTS000000000000000OSL         	2006	M07	         442	
JTS000000000000000OSL         	2006	M08	         374	
JTS000000000000000OSL         	2006	M09	         367	
