series_id                     	year	period	       value	footnote_codes
JTS000000000000000TSL         	2000	M12	        5235	
JTS000000000000000TSL         	2001	M01	        5925	
JTS000000000000000TSL         	2001	M02	        5178	
JTS000000000000000TSL         	2001	M03	        5529	
JTS000000000000000TSL         	2001	M04	        5428	
JTS000000000000000TSL         	2001	M05	        5383	
JTS000000000000000TSL         	2001	M06	        5240	
JTS000000000000000TSL         	2001	M07	        5440	
JTS000000000000000TSL         	2001	M08	        5358	
JTS000000000000000TSL         	2001	M09	        5186	
JTS000000000000000TSL         	2001	M10	        5471	
JTS000000000000000TSL         	2001	M11	        5124	
JTS000000000000000TSL         	2001	M12	        4846	
JTS000000000000000TSL         	2002	M01	        5184	
JTS000000000000000TSL         	2002	M02	        4876	
JTS000000000000000TSL         	2002	M03	        4710	
JTS000000000000000TSL         	2002	M04	        4990	
JTS000000000000000TSL         	2002	M05	        4827	
JTS000000000000000TSL         	2002	M06	        4872	
JTS000000000000000TSL         	2002	M07	        5101	
JTS000000000000000TSL         	2002	M08	        4845	
JTS000000000000000TSL         	2002	M09	        4919	
JTS000000000000000TSL         	2002	M10	        4736	
JTS000000000000000TSL         	2002	M11	        4724	
JTS000000000000000TSL         	2002	M12	        4919	
JTS000000000000000TSL         	2003	M01	        5035	
JTS000000000000000TSL         	2003	M02	        4826	
JTS000000000000000TSL         	2003	M03	        4703	
JTS000000000000000TSL         	2003	M04	        4668	
JTS000000000000000TSL         	2003	M05	        4712	
JTS000000000000000TSL         	2003	M06	        4707	
JTS000000000000000TSL         	2003	M07	        4700	
JTS000000000000000TSL         	2003	M08	        4678	
JTS000000000000000TSL         	2003	M09	        4639	
JTS000000000000000TSL         	2003	M10	        4756	
JTS000000000000000TSL         	2003	M11	        4674	
JTS000000000000000TSL         	2003	M12	        4777	
JTS000000000000000TSL         	2004	M01	        4791	
JTS000000000000000TSL         	2004	M02	        4705	
JTS000000000000000TSL         	2004	M03	        4958	
JTS000000000000000TSL         	2004	M04	        4874	
JTS000000000000000TSL         	2004	M05	        4685	
JTS000000000000000TSL         	2004	M06	        4889	
JTS000000000000000TSL         	2004	M07	        4868	
JTS000000000000000TSL         	2004	M08	        4907	
JTS000000000000000TSL         	2004	M09	        4885	
JTS000000000000000TSL         	2004	M10	        4803	
JTS000000000000000TSL         	2004	M11	        5113	
JTS000000000000000TSL         	2004	M12	        4955	
JTS000000000000000TSL         	2005	M01	        5106	
JTS000000000000000TSL         	2005	M02	        5039	
JTS000000000000000TSL         	2005	M03	        5204	
JTS000000000000000TSL         	2005	M04	        5016	
JTS000000000000000TSL         	2005	M05	        5107	
JTS000000000000000TSL         	2005	M06	        5086	
JTS000000000000000TSL         	2005	M07	        4972	
JTS000000000000000TSL         	2005	M08	        5215	
JTS000000000000000TSL         	2005	M09	        5401	
JTS000000000000000TSL         	2005	M10	        5066	
JTS000000000000000TSL         	2005	M11	        4989	
JTS000000000000000TSL         	2005	M12	        5164	
JTS000000000000000TSL         	2006	M01	        5113	
JTS000000000000000TSL         	2006	M02	        5180	
JTS000000000000000TSL         	2006	M03	        5196	
JTS000000000000000TSL         	2006	M04	        5074	
JTS000000000000000TSL         	2006	M05	        5417	
JTS000000000000000TSL         	2006	M06	        5262	
JTS000000000000000TSL         	2006	M07	        5366	
JTS000000000000000TSL         	2006	M08	        5207	
JTS000000000000000TSL         	2006	M09	        5090	
JTS000000000000000TSL         	2006	M10	        5319	
JTS000000000000000TSL         	2006	M11	        5324	
JTS000000000000000TSL         	2006	M12	        5127	
JTS000000000000000TSL         	2007	M01	        5314	
JTS000000000000000TSL         	2007	M02	        5117	
JTS000000000000000TSL         	2007	M03	        5196	
JTS000000000000000TSL         	2007	M04	        5286	
JTS000000000000000TSL         	2007	M05	        5292	
JTS000000000000000TSL         	2007	M06	        5103	
JTS000000000000000TSL         	2007	M07	        5253	
JTS000000000000000TSL         	2007	M08	        5398	
JTS000000000000000TSL         	2007	M09	        5191	
JTS000000000000000TSL         	2007	M10	        5271	
JTS000000000000000TSL         	2007	M11	        5093	
JTS000000000000000TSL         	2007	M12	        5041	
JTS000000000000000TSL         	2008	M01	        5194	
JTS000000000000000TSL         	2008	M02	        5184	
JTS000000000000000TSL         	2008	M03	        4910	
JTS000000000000000TSL         	2008	M04	        5182	
JTS000000000000000TSL         	2008	M05	        4840	
JTS000000000000000TSL         	2008	M06	        5043	
JTS000000000000000TSL         	2008	M07	        4868	
JTS000000000000000TSL         	2008	M08	        5014	
JTS000000000000000TSL         	2008	M09	        4901	
JTS000000000000000TSL         	2008	M10	        4977	
JTS000000000000000TSL         	2008	M11	        4787	
JTS000000000000000TSL         	2008	M12	        4879	
JTS000000000000000TSL         	2009	M01	        4925	
JTS000000000000000TSL         	2009	M02	        4824	
JTS000000000000000TSL         	2009	M03	        4693	
JTS000000000000000TSL         	2009	M04	        4695	
JTS000000000000000TSL         	2009	M05	        4184	
JTS000000000000000TSL         	2009	M06	        4226	
JTS000000000000000TSL         	2009	M07	        4256	
JTS000000000000000TSL         	2009	M08	        3992	
JTS000000000000000TSL         	2009	M09	        4123	
JTS000000000000000TSL         	2009	M10	        4003	
JTS000000000000000TSL         	2009	M11	        3983	
JTS000000000000000TSL         	2009	M12	        4103	
JTS000000000000000TSL         	2010	M01	        3989	
JTS000000000000000TSL         	2010	M02	        3978	
JTS000000000000000TSL         	2010	M03	        4072	
JTS000000000000000TSL         	2010	M04	        3948	
JTS000000000000000TSL         	2010	M05	        3911	
JTS000000000000000TSL         	2010	M06	        4308	
JTS000000000000000TSL         	2010	M07	        4299	
JTS000000000000000TSL         	2010	M08	        4067	
JTS000000000000000TSL         	2010	M09	        4047	
JTS000000000000000TSL         	2010	M10	        3883	
JTS000000000000000TSL         	2010	M11	        4041	
JTS000000000000000TSL         	2010	M12	        4143	
JTS000000000000000TSL         	2011	M01	        4045	
JTS000000000000000TSL         	2011	M02	        4014	
JTS000000000000000TSL         	2011	M03	        4109	
JTS000000000000000TSL         	2011	M04	        3994	
JTS000000000000000TSL         	2011	M05	        4179	
JTS000000000000000TSL         	2011	M06	        4168	
JTS000000000000000TSL         	2011	M07	        4180	
JTS000000000000000TSL         	2011	M08	        4189	
JTS000000000000000TSL         	2011	M09	        4213	
JTS000000000000000TSL         	2011	M10	        4147	
